标题： 一到十季我都有 	 链接：http://tieba.baidu.com//p/5139402569 	 发帖人：memories268 	 发帖时间：12:09 	 回复数量： 0 
标题： 【资源分享/禁水】吧友资源分享统一管理帖 不看怪我啦???? 	 链接：http://tieba.baidu.com//p/3798854576 	 发帖人：将轨 	 发帖时间：2015-06 	 回复数量： 6968 
标题： 不知道有没有人发过这个 	 链接：http://tieba.baidu.com//p/5137348417 	 发帖人：xvzcbnm 	 发帖时间：5-28 	 回复数量： 2 
标题： peny和拉杰喝的是什么酒？我知道是广告 	 链接：http://tieba.baidu.com//p/5134149066 	 发帖人：轩辕神兵 	 发帖时间：5-26 	 回复数量： 12 
标题： 生活大爆炸一到十季 	 链接：http://tieba.baidu.com//p/5139322779 	 发帖人：shmilu59 	 发帖时间：10:58 	 回复数量： 3 
标题： 从第一季到第十季真的很不容易老 	 链接：http://tieba.baidu.com//p/5136634390?fid=1441624 	 发帖人：晴晴果酱 	 发帖时间：5-28 	 回复数量： 8 
标题： 我想问一下，哪里可以找到只有英文的生活大爆炸 	 链接：http://tieba.baidu.com//p/4521588338 	 发帖人：记忆aaaaa 	 发帖时间：2016-05 	 回复数量： 21 
标题： 第十季什么时候出啊~ 	 链接：http://tieba.baidu.com//p/4700820232 	 发帖人：圣枪伊弗列姆 	 发帖时间：2016-07 	 回复数量： 41 
标题： 急！！！求图片出处 	 链接：http://tieba.baidu.com//p/5138625341?fid=1441624 	 发帖人：0925_Christina 	 发帖时间：5-29 	 回复数量： 8 
标题： 《生活大爆炸》你可能不知道的21件事 	 链接：http://tieba.baidu.com//p/4432137688 	 发帖人：嘿_屁仔PuChi 	 发帖时间：2016-03 	 回复数量： 326 
标题： 谢耳朵居然是gay 	 链接：http://tieba.baidu.com//p/5119138044 	 发帖人：唯爱迈扣 	 发帖时间：5-16 	 回复数量： 30 
标题： 求问图片出处 	 链接：http://tieba.baidu.com//p/5138993270 	 发帖人：孤独综合证 	 发帖时间：01:16 	 回复数量： 1 
标题： 开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 链接：http://tieba.baidu.com//p/1491364062 	 发帖人：黑色诱惑1983 	 发帖时间：2014-03 	 回复数量： 29907 
标题： 记得这个吗哈哈 	 链接：http://tieba.baidu.com//p/5111213106 	 发帖人：丿Jie丶wang 	 发帖时间：5-11 	 回复数量： 14 
标题： 讨论帖 raj的几个女朋友你喜欢谁 	 链接：http://tieba.baidu.com//p/4966911202 	 发帖人：A溺于深海 	 发帖时间：2-5 	 回复数量： 149 
标题： 请问有没有大佬知道谢耳朵这T恤的购买途径 	 链接：http://tieba.baidu.com//p/5103162427 	 发帖人：54怪蜀黍 	 发帖时间：5-5 	 回复数量： 4 
标题： 老哥們，用的什麼網站看 	 链接：http://tieba.baidu.com//p/5099424694 	 发帖人：China丶叶 	 发帖时间：5-3 	 回复数量： 35 
标题： 耳朵被吻以后求婚艾米的脑回路 	 链接：http://tieba.baidu.com//p/5114239515 	 发帖人：latamei 	 发帖时间：5-13 	 回复数量： 28 
标题： 谢耳朵结婚了 	 链接：http://tieba.baidu.com//p/5118732401 	 发帖人：哟呦哟鹿鸣 	 发帖时间：5-16 	 回复数量： 17 
标题： 一定要有十一季啊  谢耳朵这张好暖啊 	 链接：http://tieba.baidu.com//p/5126364887 	 发帖人：那些年199533 	 发帖时间：5-21 	 回复数量： 53 
标题： 生活大爆炸第十季 	 链接：http://tieba.baidu.com//p/5135351342 	 发帖人：湿十 	 发帖时间：5-27 	 回复数量： 35 
标题： 谁有生活大爆炸第四季的资源？！ 	 链接：http://tieba.baidu.com//p/2931321114 	 发帖人：腐一般的世界 	 发帖时间：2014-03 	 回复数量： 15 
标题： 想要资源啊大佬们 	 链接：http://tieba.baidu.com//p/5138452008 	 发帖人：吃节操的法克鱿 	 发帖时间：5-29 	 回复数量： 4 
标题： 上门sscc8976 	 链接：http://tieba.baidu.com//p/5138752655 	 发帖人：脱赡侗贤 	 发帖时间：5-29 	 回复数量： 0 
标题： 跪求给我6-8季的资源，谢谢！ 	 链接：http://tieba.baidu.com//p/5136807040 	 发帖人：旧人梦baby_ 	 发帖时间：5-28 	 回复数量： 7 
标题： 上门sscc8976 	 链接：http://tieba.baidu.com//p/5138613527 	 发帖人：盏谕形侗 	 发帖时间：5-29 	 回复数量： 0 
标题： 上门模特ypa5200 	 链接：http://tieba.baidu.com//p/5138574003 	 发帖人：吮繁偈顾 	 发帖时间：5-29 	 回复数量： 0 
